id,user_id,expertise_areas,hourly_credit_rate,bio,years_experience,availability_status,approval_status,approval_date,total_sessions_completed,average_rating
2,2,"Frontend Development,React,JavaScript,UI Design",12,"Senior frontend developer with 8+ years experience in React and modern web technologies. Passionate about teaching clean code practices and component architecture.",8,available,approved,2024-02-25 15:30:00,47,4.8
3,3,"Backend Systems,Node.js,Database Design,API Development",15,"Full-stack engineer specializing in scalable backend systems and API architecture. Expert in microservices and cloud deployment strategies.",10,available,approved,2024-03-15 11:20:00,38,4.9
4,6,"DevOps,AWS,Docker,CI/CD",14,"DevOps architect with extensive experience in cloud infrastructure and automation. Helps teams implement efficient deployment pipelines.",7,available,approved,2024-04-10 09:45:00,29,4.7
5,7,"Data Science,Python,Machine Learning,Analytics",13,"Data scientist with strong background in ML algorithms and statistical analysis. Specializes in practical applications of AI in business.",6,available,approved,2024-05-20 14:15:00,22,4.6
6,8,"Mobile Development,React Native,iOS,Android",11,"Mobile app developer with expertise in cross-platform development. Published 15+ apps with millions of downloads.",5,available,approved,2024-06-30 16:00:00,31,4.8
7,9,"Cybersecurity,Ethical Hacking,Security Auditing",15,"Information security expert with focus on web application security and penetration testing. CISSP certified.",9,available,approved,2024-07-15 12:30:00,18,4.9
8,10,"Project Management,Agile,Scrum,Leadership",10,"Certified Scrum Master and PMP with 12+ years leading software development teams. Expert in agile transformation.",12,available,approved,2024-08-05 10:10:00,55,4.7
9,11,"UI/UX Design,Figma,User Research,Prototyping",9,"UX designer with strong background in user research and design thinking. Worked with startups and Fortune 500 companies.",4,available,approved,2024-09-12 13:50:00,26,4.5
10,12,"Quality Assurance,Test Automation,Selenium",8,"QA engineer specializing in automated testing frameworks and quality processes. Expert in TDD and BDD methodologies.",6,limited,approved,2024-10-20 15:25:00,19,4.6
11,13,"Cloud Architecture,Azure,Kubernetes,Microservices",14,"Cloud solutions architect with deep expertise in container orchestration and serverless technologies.",8,available,pending,2024-11-15 11:40:00,0,0.0
12,14,"Blockchain,Smart Contracts,Web3,Cryptocurrency",13,"Blockchain developer with experience in DeFi protocols and smart contract development. Early adopter of Web3 technologies.",3,available,pending,2024-12-01 09:20:00,0,0.0
13,15,"Game Development,Unity,C#,3D Graphics",11,"Game developer with 7+ years creating mobile and PC games. Expert in Unity engine and game design principles.",7,unavailable,approved,2024-08-25 14:35:00,12,4.4
