id,mentor_id,student_id,session_date,session_time,status,credit_cost,topic,student_rating,student_feedback,mentor_notes,created_at
1,2,4,2024-06-20,14:00:00,completed,12,React Component Architecture,5,"Excellent session! Really helped me understand component lifecycle.",Covered hooks and state management in depth,2024-06-18 10:30:00
2,3,5,2024-07-25,10:30:00,completed,15,API Development Best Practices,4,"Very knowledgeable mentor. Good practical examples.","Discussed RESTful design and authentication patterns",2024-07-23 15:20:00
3,2,6,2024-09-10,15:20:00,completed,12,Advanced React Patterns,5,"Amazing session! Learned so much about custom hooks.","Student showed great progress, covered advanced concepts",2024-09-08 11:45:00
4,4,7,2024-09-15,13:00:00,completed,14,DevOps Pipeline Setup,4,"Helpful session on CI/CD. Could use more hands-on examples.","Set up complete GitHub Actions workflow together",2024-09-13 09:30:00
5,5,9,2024-10-20,10:45:00,completed,13,Machine Learning Fundamentals,5,"Perfect introduction to ML concepts. Very patient mentor.","Covered basic algorithms and practical applications",2024-10-18 16:15:00
6,2,11,2024-11-25,16:00:00,completed,12,JavaScript Performance Optimization,4,"Good technical depth. Session was very informative.","Analyzed code performance and optimization strategies",2024-11-23 14:20:00
7,3,4,2024-12-05,09:30:00,completed,15,Database Design Patterns,5,"Exceptional mentor! Really understood my project needs.","Helped design complete database schema for student's app",2024-12-03 12:10:00
8,6,8,2024-12-12,11:15:00,completed,11,Mobile App User Experience,4,"Great insights on UX design. Practical advice for my app.","Reviewed app mockups and suggested improvements",2024-12-10 08:45:00
9,7,10,2024-12-18,14:45:00,completed,15,Security Vulnerability Assessment,5,"Incredibly knowledgeable about security. Eye-opening session.","Conducted security review of student's web application",2024-12-16 13:30:00
10,8,12,2024-12-28,10:00:00,completed,10,Agile Project Management,4,"Good overview of Scrum practices. Helpful for my team.","Discussed sprint planning and team dynamics",2024-12-26 15:50:00
11,2,5,2025-01-15,14:30:00,booked,12,React Testing Strategies,NULL,NULL,NULL,2025-01-10 11:20:00
12,3,6,2025-01-18,10:15:00,booked,15,Microservices Architecture,NULL,NULL,NULL,2025-01-12 16:45:00
13,4,7,2025-01-22,15:45:00,booked,14,Kubernetes Deployment,NULL,NULL,NULL,2025-01-15 09:10:00
14,5,9,2025-01-25,11:30:00,booked,13,Deep Learning Applications,NULL,NULL,NULL,2025-01-18 14:25:00
15,6,8,2025-01-30,13:20:00,booked,11,Cross-Platform Development,NULL,NULL,NULL,2025-01-22 10:55:00
16,2,NULL,2025-02-05,16:00:00,available,12,React Advanced Patterns,NULL,NULL,Available for booking,2025-01-25 12:40:00
17,3,NULL,2025-02-08,09:45:00,available,15,System Architecture Review,NULL,NULL,Available for booking,2025-01-28 15:15:00
18,4,NULL,2025-02-10,14:15:00,available,14,Cloud Infrastructure Setup,NULL,NULL,Available for booking,2025-01-30 11:30:00
19,5,NULL,2025-02-12,10:30:00,available,13,AI Model Deployment,NULL,NULL,Available for booking,2025-02-01 16:20:00
20,6,NULL,2025-02-15,13:45:00,available,11,Mobile Performance Optimization,NULL,NULL,Available for booking,2025-02-03 08:50:00
21,7,NULL,2025-02-18,15:30:00,available,15,Penetration Testing Basics,NULL,NULL,Available for booking,2025-02-05 14:10:00
22,8,NULL,2025-02-20,11:00:00,available,10,Team Leadership Skills,NULL,NULL,Available for booking,2025-02-07 12:25:00
23,9,NULL,2025-02-22,14:00:00,available,9,User Research Methods,NULL,NULL,Available for booking,2025-02-10 09:35:00
24,10,NULL,2025-02-25,16:15:00,available,8,Automated Testing Framework,NULL,NULL,Available for booking,2025-02-12 13:45:00
25,2,NULL,2025-02-28,10:45:00,available,12,Component Library Design,NULL,NULL,Available for booking,2025-02-15 11:50:00
